"Год","Регион","salary","invest"
2005,"Саратовская область",5056,3795
2005,"Сахалинская область",12639.5,709.4
2005,"Свердловская область",9021.7,9045.4
2005,"Смоленская область",5482.7,1813.1
2005,"Тамбовская область",5292.4,3791.8
2005,"Томская область",8141.6,1490.2
2005,"Ставропольский край",5116.5,5952.1
2005,"Тульская область",4988.4,1849.2
2005,"Тюменская область",14982.8,20936.8
2005,"Ханты-Мансийский ...",18114.6,11505.9
2005,"Ямало-Ненецкий ав...",22230.7,4562.1
2005,"Ульяновская область",4575.9,2828.5
2005,"Челябинская область",6553.5,8397.5
2005,"Забайкальский край",5907.6,1489
2005,"Агинский Бурятски...",5043.3,166.8
2005,"Чукотский авт.округ",19668.9,1023.3
2005,"Ярославская область",6320.7,2309
2005,"Республика Адыгея",3892.9,648.9
2005,"Хабаровский край",9653.7,3750
2005,"Республика Башкор...",6886.5,16224.7
2005,"Республика Бурятия",6026.9,1235.4
2005,"Республика Дагестан",4388.5,5877.9
2005,"Кабардино-Балкарс...",4190.1,2019.4
2005,"Республика Алтай",4380.9,314.5
2005,"Республика Калмыкия",2391.9,217.5
2005,"Республика Карелия",7277.8,1214.7
2005,"Республика Коми",11452.3,1927.7
2005,"Республика Марий Эл",3376,1675.2
2005,"Республика Мордовия",4102.9,1581.4
2005,"Республика Северн...",4668.8,929.3
2005,"Карачаево-Черкесс...",4083.8,867.4
2005,"Республика Татарстан",7383.5,18640.4
2005,"Республика Тыва",4161.5,127.9
2005,"Удмуртская Респуб...",4656.9,4765.5
2005,"Республика Хакасия",5176.5,1119.7
2005,"Чувашская Республика",3958.5,5331.4
2005,"Республика Саха (...",11349.9,4261.7
2005,"Еврейская автоном...",6405.7,142.5
2006,"Алтайский край",6369.1,4391.5
2006,"Амурская область",7419,2023.7
2006,"Ненецкий авт.округ",27276.5,1212
2006,"Астраханская область",7035,7374.2
2006,"Белгородская область",7082.8,5475.9
2006,"Брянская область",6171.1,1880.8
2006,"Владимирская область",5626.9,2214.8
2006,"Волгоградская обл...",7889.3,3704.2
2006,"Вологодская область",8681.9,3714.8
2006,"Воронежская область",6861.6,7332.3
2006,"Нижегородская обл...",8049,15110.3
2006,"Ивановская область",4456.9,2468
2006,"Иркутская область",8826.3,3715.9
2006,"Усть-Ордынский Бу...",3101.5,39.3
2006,"Республика Ингушетия",3568.8,447.1
2006,"Калининградская о...",8917.5,2722.6
2006,"Тверская область",7266.6,3981.2
2006,"Калужская область",6924.7,3877.5
2006,"Краснодарский край",7193.1,33546.3
2006,"Камчатский край",13811.9,275.1
2006,"Корякский авт.округ",15268.4,0.2
2006,"Кемеровская область",9565.8,9278.9
2006,"Кировская область",5885.6,2082.7
2006,"Костромская область",6397.5,810.5
2006,"Самарская область",11382.9,7554.3
2006,"Курганская область",6676.8,1103.4
2006,"Курская область",6751,3046.1
2006,"Красноярский край",9784,11328.9
2006,"г.Санкт-Петербург",13686.7,13091.3
2006,"Таймырский (Долга...",13797.5,1.3
2006,"Ленинградская обл...",8055.4,17239.7
2006,"Эвенкийский авт.о...",12865.7,19.2
2006,"Липецкая область",7610.7,5890.7
2006,"Магаданская область",13858.3,237.2
2006,"г.Москва",28249.4,86833.7
2006,"Московская область",10515,47857.7
2006,"Мурманская область",13020.1,211
2006,"Новгородская область",7205.9,2481
2006,"Приморский край",9109.5,4627.3
